2019-11-12 13:43:11.225313:
 idmp = 250 
pos  err   spd
     0        0      146        0   
     0        1      336        1   
     0        4      578        3   
     0        8      844        4   
     1       12     1110        4   
     3       17     1400        5   
     7       22     1690        5   
    12       27     1980        5   
    21       29     2196        2   
    31       32     2438        3   
    43       35     2678        3   
    58       36     2870        1   
    73       38     3084        2   
    93       37     3224       -1   
   113       37     3390        0   
   137       34     3482       -3   
   160       34     3648        0   
   185       34     3814        0   
   213       32     3928       -2   
   242       30     4044       -2   
   271       30     4210        0   
   305       27     4300       -3   
   335       28     4492        1   
   369       28     4656        0   
   404       27     4796       -1   
   440       28     4988        1   
   479       26     5104       -2   
   520       24     5220       -2   
   556       29     5510        5   
   600       27     5624       -2   
   641       29     5840        2   
   687       28     5982       -1   
   733       28     6148        0   
   780       29     6346        1   
   829       29     6538        0   
   887       22     6330       -7   
   935       25     6238        3   
   986       23     6022       -2   
  1041       16     5682       -7   
  1097        6     5266      -10   
  1149       -1     4924       -7   
  1202      -10     4536       -9   
  1253      -19     4144       -9   
  1299      -25     3828       -6   
  1343      -30     3538       -5   
  1387      -36     3222       -6   
  1425      -38     3006       -2   
  1460      -38     2842        0   
  1492      -37     2700        1   
  1523      -36     2560        1   
  1552      -35     2418        1   
  1577      -31     2352        4   
  1603      -29     2238        2   
  1624      -24     2198        5   
  1646      -22     2082        2   
  1667      -20     1966        2   
  1687      -18     1850        2   
  1704      -15     1758        3   
  1721      -13     1644        2   
  1738      -13     1478        0   
  1755      -14     1288       -1   
  1768      -13     1146        1   
  1781      -13      980        0   
  1793      -13      814        0   
  1802      -12      676        1   
  1812      -14      460       -2   
  1818      -13      318        1   
  1824      -13      152        0   
  1828      -13      -14        0   
  1830      -12     -154        1   
  1831      -11     -280        1   
  1830        0        8        0   
  1829        1     -132        1   
  1827        1     -298        0   
  1826       -1     -514       -2   
  1825       -4     -752       -3   
  1822       -7     -994       -3   
  1818      -10    -1234       -3   
  1813      -13    -1476       -3   
  1806      -16    -1716       -3   
  1797      -19    -1958       -3   
  1786      -21    -2172       -2   
  1774      -23    -2388       -2   
  1760      -25    -2604       -2   
  1742      -25    -2770        0   
  1725      -26    -2960       -1   
  1704      -26    -3124        0   
  1683      -26    -3290        0   
  1658      -25    -3432        1   
  1634      -25    -3598        0   
  1608      -25    -3764        0   
  1579      -24    -3904        1   
  1551      -25    -4094       -1   
  1522      -26    -4284       -1   
  1490      -26    -4450        0   
  1456      -25    -4592        1   
  1420      -24    -4732        1   
  1383      -23    -4874        1   
